,id,opening_hours,city,creation_date,street,email,phone_number,name,revenue,cost_of_goods,cost_of_labor_month,fixed_costs_month,cost_of_labor_total,fixed_costs_total,total_PNL
10,10,12:00-23:00,San Francisco,8/7/17 13:00,Marine Dr,harrys_bar@aol.com,0494-616328,Harrys Bar,51163.1,7674.464999999999,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,2665.673000926523
11,11,12:00-23:00,San Francisco,4/27/17 22:10,Forest Knolls Dr,long_island_business_college_hall@gmail.com,0496-359481,Long Island Business College Hall,104217.3,15632.595,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,47761.74300092652
12,12,12:00-23:00,San Francisco,7/7/17 17:51,Urbano Dr,brooklyn_democratic_club@yahoo.com,0496-931729,Brooklyn Democratic Club,102588.4,15388.259999999998,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,46377.17800092652
13,13,12:00-23:00,San Francisco,10/20/17 7:41,Fresnel Way,seventh_masonic_district@mail.com,0496-040228,Seventh Masonic District,85005.4,12750.81,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,31431.628000926517
14,14,12:00-23:00,San Francisco,9/30/17 16:39,Codman Pl,salle_hotel@gmail.com,0498-575430,Salle Hotel,52185.200000000004,7827.780000000001,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,3534.4580009265264
15,15,12:00-23:00,San Francisco,9/28/17 17:21,Donahue St,san_souci___beverly_wilshire_hotel@mail.com,0499-679087,San Souci   Beverly Wilshire Hotel,56564.299999999996,8484.644999999999,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,7256.6930009265125
16,16,12:00-23:00,San Francisco,9/11/17 3:08,Moneta Way,the_pabst@yahoo.com,0497-859751,The Pabst,76199.8,11429.97,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,23946.868000926523
17,17,12:00-23:00,San Francisco,4/7/18 5:21,Quintara St,18th_club@outlook.com,0494-267745,18th Club,141372.6,21205.89,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,79343.74800092653
18,18,12:00-23:00,San Francisco,6/15/17 5:52,Manor Dr,karl_ratzschs@hotmail.com,0498-457437,Karl Ratzschs,46409.799999999996,6961.469999999999,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,-1374.6319990734846
19,19,12:00-23:00,New York,10/21/17 20:50,Bowl Dr,nipppon_yusen_kaisha___ss_kobe_maru@aol.com,0495-365711,Nipppon Yusen Kaisha   S.S. Kobe Maru,68262.4,10239.359999999999,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,17200.078000926515
20,20,12:00-23:00,New York,3/3/18 23:33,Emmet Ct,explorers_club___arctic_club@yahoo.com,0498-853282,Explorers Club   Arctic Club,66556.0,9983.4,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,15749.638000926527
21,21,12:00-23:00,San Francisco,6/28/17 16:26,Faxon Ave,union_pacific__railroad@inbox.com,0495-218313,Union Pacific  Railroad,84825.0,12723.75,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,31278.28800092652
22,22,12:00-23:00,San Francisco,5/13/17 10:36,Incinerator Rd,winthrop_hotel@hotmail.com,0498-308091,Winthrop Hotel,79879.0,11981.85,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,27074.188000926515
23,23,12:00-23:00,San Francisco,12/6/17 20:14,Bird St,american_spool_cotton_manufacturers_association@hotmail.com,0497-515464,American Spool Cotton Manufacturers Association,116424.90000000001,17463.735,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,58138.20300092653
24,24,12:00-23:00,San Francisco,1/23/18 11:23,Beale St,willards_hotel@inbox.com,0499-396148,Willards Hotel,92672.6,13900.890000000001,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,37948.74800092653
25,25,12:00-23:00,San Francisco,6/15/17 21:28,Ashwood Ln,the_upholstey_and_allied_trades@yahoo.com,0499-348306,The Upholstey And Allied Trades,61798.700000000004,9269.805,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,11705.933000926525
26,26,12:00-23:00,San Francisco,7/14/17 5:42,Edith St,century_club?@inbox.com,0498-662968,Century Club?,51914.7,7787.204999999999,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,3304.5330009265163
27,27,12:00-23:00,San Francisco,5/16/17 5:04,Haight St,amity_hall_inn@inbox.com,0497-081463,Amity Hall Inn,116185.4,17427.809999999998,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,57934.62800092652
28,28,12:00-23:00,San Francisco,5/30/17 7:49,Lincoln Way,library_room@aol.com,0496-312433,Library Room,84540.4,12681.06,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,31036.378000926517
29,29,12:00-23:00,San Francisco,2/2/18 7:28,Leona Terrace,mills_hotel@gmail.com,0496-313456,Mills Hotel,90687.2,13603.08,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,36261.158000926516
30,30,12:00-23:00,San Francisco,4/28/17 14:52,S Hughes Ln - Golden Gate National Recreation Area,bert_hough_&_tony_franker___pabst_blue_ribbon@gmail.com,0498-587830,Bert Hough & Tony Franker   Pabst Blue Ribbon,89522.2,13428.33,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,35270.908000926516
31,31,12:00-23:00,San Francisco,4/26/17 18:19,Clover St,friends_of_hanthony_dyer@gmail.com,0495-277891,Friends Of H.Anthony Dyer,47485.200000000004,7122.780000000001,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,-460.54199907347356
32,32,12:00-23:00,San Francisco,7/1/18 14:30,Sansome St,the_ballroom_of_the_hotel_plaza@yahoo.com,0494-478153,The Ballroom Of The Hotel Plaza,37580.299999999996,5637.044999999999,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,-8879.706999073482
33,33,12:00-23:00,San Francisco,6/16/17 3:47,Doublerock St,brasserie_dalsace@mail.com,0495-312358,Brasserie Dalsace,75826.4,11373.96,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,23629.478000926516
34,34,12:00-23:00,San Francisco,12/8/17 11:00,Fresnel Way,liptons_restaurant@mail.com,0499-421579,Liptons Restaurant,118699.5,17804.925,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,60071.61300092652
35,35,12:00-23:00,San Francisco,4/23/17 6:01,Harrison St,comrades_of_the_army_of_the_potomac@gmail.com,0494-503010,Comrades Of The Army Of The Potomac,64688.4,9703.26,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,14162.178000926528
36,36,12:00-23:00,San Francisco,12/15/17 1:35,Tucker Ave,dr_h_g_sherman@hotmail.com,0496-897141,Dr. H. G. Sherman,64579.399999999994,9686.909999999998,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,14069.528000926512
37,37,12:00-23:00,San Francisco,10/23/17 7:36,Meadowbrook Dr,hamburg_america_line@outlook.com,0495-118669,Hamburg America Line,89148.7,13372.304999999998,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,34953.433000926525
38,38,12:00-23:00,San Francisco,12/8/18 1:04,John F Kennedy Dr,santa_fe_dining_car_service@yahoo.com,0496-559782,Santa Fe Dining Car Service,99248.8,14887.32,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,43538.51800092652
39,39,12:00-23:00,San Francisco,7/3/17 13:43,Avenue M,restaurant_faberhof@outlook.com,0494-730473,Restaurant Faberhof,72472.2,10870.83,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,20778.408000926516
40,40,12:00-23:00,San Francisco,8/15/17 6:47,Knott Ct,dante@inbox.com,0498-723637,Dante,71060.4,10659.06,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,19578.378000926517
41,41,12:00-23:00,New York,6/15/18 7:26,Avenue C,society_of_colonial_wars_in_state_of_new_jersey@inbox.com,0499-532891,Society Of Colonial Wars In State Of New Jersey,68362.1,10254.315,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,17284.823000926524
42,42,12:00-23:00,New York,6/10/18 19:58,Tenny Pl,sheraton_blackstone_chicago@inbox.com,0497-637785,Sheraton Blackstone Chicago,68339.6,10250.94,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,17265.698000926524
43,43,12:00-23:00,San Francisco,4/17/17 4:22,Cordelia St,greenhuts_lunch_room_at_18th_and_19th_streets@outlook.com,0497-157694,Greenhuts Lunch Room at 18th and 19th Streets.,77300.8,11595.12,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,24882.71800092653
44,44,12:00-23:00,San Francisco,7/26/17 8:00,Italy Ave,yale_alumni_association@mail.com,0498-591241,Yale Alumni Association,87879.5,13181.925,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,33874.61300092652
45,45,12:00-23:00,San Francisco,5/19/17 10:57,Beacon St,au_chat_noir@hotmail.com,0495-777151,Au Chat Noir,62630.3,9394.545,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,12412.793000926526
46,46,12:00-23:00,San Francisco,6/3/17 6:10,Mansfield St,pennsylvania_tours_to_the_golden_gate@hotmail.com,0499-240382,Pennsylvania Tours To The Golden Gate,48552.9,7282.935,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,447.0030009265247
47,47,12:00-23:00,San Francisco,12/12/17 7:40,San Marcos Ave,grand_union_hotel@inbox.com,0494-309588,Grand Union Hotel,51281.5,7692.224999999999,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,2766.3130009265224
48,48,12:00-23:00,San Francisco,4/24/17 5:24,Sunview Dr,tower_restaurant_and_cafe@yahoo.com,0496-446296,Tower Restaurant And Cafe,54279.4,8141.91,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,5314.528000926519
49,49,12:00-23:00,San Francisco,4/30/17 6:32,Reservoir Rd,usgovernment@gmail.com,0499-531905,U.S.Government,59465.4,8919.81,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,9722.628000926525
50,50,12:00-23:00,San Francisco,8/18/18 4:18,Ocean Ave,friends_of_mr_charles_a_brunn@mail.com,0495-857428,Friends Of Mr. Charles A. Brunn,52000.200000000004,7800.030000000001,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,3377.2080009265264
51,51,12:00-23:00,San Francisco,9/19/17 11:30,Annie St,western_reserve_university@mail.com,0498-266434,Western Reserve University,47723.0,7158.45,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,-258.4119990734762
52,52,12:00-23:00,San Francisco,4/22/17 9:33,Burke Ave,society_of_medical_jurisprudence@hotmail.com,0495-967704,Society Of Medical Jurisprudence,90600.8,13590.12,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,36187.71800092653
53,53,12:00-23:00,San Francisco,9/1/17 6:20,Elm St,waldorf_astoria_hotel@hotmail.com,0494-718497,Waldorf Astoria Hotel,133839.2,20075.88,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,72940.35800092653
54,54,12:00-23:00,San Francisco,7/25/18 6:16,Calgary St,frederik_viii@hotmail.com,0498-505329,Frederik Viii,126495.8,18974.37,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,66698.46800092653
55,55,12:00-23:00,San Francisco,2/9/18 10:16,Laurel St,hotel_de_la_tremoille@aol.com,0496-792550,Hotel De La Tremoille,62545.3,9381.795,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,12340.543000926526
56,56,12:00-23:00,San Francisco,12/6/17 17:21,Flournoy St,"russell_house,the@aol.com",0496-624597,"Russell House,The",57526.9,8629.035,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,8074.903000926519
57,57,12:00-23:00,San Francisco,11/23/18 4:42,Southard Pl,friends_of_geo_w_gardner@hotmail.com,0499-673234,Friends Of Geo W. Gardner,93450.2,14017.529999999999,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,38609.70800092652
58,58,12:00-23:00,San Francisco,4/15/17 13:05,Bosworth St,ss_bruce@inbox.com,0495-086825,S.S. Bruce,74345.6,11151.84,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,22370.79800092653
59,59,12:00-23:00,San Francisco,4/13/17 12:08,Harrison Blvd - Golden Gate National Recreation Area,henri_confiseur@inbox.com,0499-393361,Henri Confiseur,42493.6,6374.04,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,-4703.401999073481
60,60,12:00-23:00,San Francisco,6/15/17 7:41,Nevada St,the_guaranty_club@yahoo.com,0495-732270,The Guaranty Club,47450.0,7117.5,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,-490.4619990734791
61,61,12:00-23:00,San Francisco,6/24/17 3:16,Cabrillo St,international_railway_congress@hotmail.com,0494-344541,International Railway Congress,47119.799999999996,7067.969999999999,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,-771.1319990734846
62,62,12:00-23:00,San Francisco,6/11/18 19:41,Bush St,orpheus_masquerade@hotmail.com,0499-888462,Orpheus Masquerade,125229.59999999999,18784.44,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,65622.19800092651
63,63,12:00-23:00,San Francisco,6/11/17 5:52,Nike Rd,royal_literary_fund@mail.com,0494-481828,Royal Literary Fund,43622.1,6543.315,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,-3744.176999073483
64,64,12:00-23:00,San Francisco,6/22/17 7:40,Lloyd St,municipal_art_society@inbox.com,0499-650581,Municipal Art Society,64792.1,9718.814999999999,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,14250.323000926517
65,65,12:00-23:00,San Francisco,5/27/17 7:06,Kenwood Way,mckees_restaurant@inbox.com,0495-516587,McKees Restaurant,65851.7,9877.755,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,15150.983000926513
66,66,12:00-23:00,San Francisco,8/14/17 22:32,Gardenside Dr,royal_hawaiian_hotel_(sheraton_hotels_in_hawaii)@outlook.com,0498-522720,Royal Hawaiian Hotel (Sheraton Hotels In Hawaii),39737.7,5960.655,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,-7045.916999073481
67,67,12:00-23:00,San Francisco,9/20/17 1:06,R St,graemere_hotel@mail.com,0494-021028,Graemere Hotel,66447.5,9967.125,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,15657.41300092652
68,68,12:00-23:00,San Francisco,9/6/17 17:10,Commer Ct,the_four_seasons_motor_hotel@hotmail.com,0499-081563,The Four Seasons Motor Hotel,45520.4,6828.06,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,-2130.6219990734753
69,69,12:00-23:00,San Francisco,4/13/17 10:49,Donner Ave,robert_e_peary@inbox.com,0494-709746,Robert E. Peary,71477.8,10721.67,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,19933.168000926526
70,70,12:00-23:00,San Francisco,9/9/17 11:46,Annie St,henry_van_schaick@yahoo.com,0498-028115,Henry Van Schaick,75299.9,11294.984999999999,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,23181.953000926515
71,71,12:00-23:00,San Francisco,3/1/18 7:28,Edinburgh St,hotel_lexington@hotmail.com,0497-521831,Hotel Lexington,47212.7,7081.905,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,-692.1669990734808
72,72,12:00-23:00,San Francisco,9/18/17 17:11,Point Lobos,king_umberto_and_queen_margharita@yahoo.com,0495-066886,King Umberto And Queen Margharita,79131.40000000001,11869.710000000001,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,26438.728000926523
73,73,12:00-23:00,San Francisco,8/14/17 15:26,Spofford St,state_department_special_to_the_pand_american_congress_at_the_city_of_mexico_(pullman_car_service)@inbox.com,0494-454774,State Department Special To The Pand American Congress At The City Of Mexico (Pullman Car Service),68890.1,10333.515000000001,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,17733.623000926527
74,74,12:00-23:00,New York,11/9/17 2:46,Vesey Pl,blanchs@mail.com,0497-871572,Blanchs,74162.9,11124.435,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,22215.503000926517
75,75,12:00-23:00,New York,4/28/17 12:25,W 98th St,ocean_house@mail.com,0499-857831,Ocean House,58778.299999999996,8816.744999999999,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,9138.593000926521
76,76,12:00-23:00,San Francisco,7/10/17 7:40,Elk St,assembly@gmail.com,0494-892101,Assembly,127508.20000000001,19126.23,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,67559.00800092654
77,77,12:00-23:00,New York,11/17/17 16:19,E 15th St,santa_fe_route_dining_car_service@gmail.com,0494-055669,Santa Fe Route Dining Car Service,88131.5,13219.725,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,34088.813000926515
78,78,12:00-23:00,New York,2/10/18 9:39,W 181st St,chocorua_inn@hotmail.com,0495-270358,Chocorua Inn,74177.3,11126.595,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,22227.743000926523
79,79,12:00-23:00,New York,9/20/17 23:51,E 73rd St,greenhut-siegel_cooper_co@yahoo.com,0495-593848,Greenhut-Siegel Cooper Co.,45659.3,6848.895,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,-2012.5569990734803
80,80,12:00-23:00,New York,12/13/17 22:23,Clarkson St,simpson_timber@aol.com,0497-506171,Simpson Timber,66991.4,10048.71,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,16119.728000926516
81,81,12:00-23:00,New York,12/1/18 23:50,Pitt St,parisien@aol.com,0494-018538,Parisien,49788.2,7468.23,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,1497.008000926522
82,82,12:00-23:00,New York,12/27/17 11:42,South End Ave,the_florida_brewing_co@outlook.com,0496-784129,The Florida Brewing Co.,38093.799999999996,5714.069999999999,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,-8443.231999073483
83,83,12:00-23:00,New York,7/26/17 8:51,W 102nd St,neuman_&_bogdonoff@gmail.com,0495-494828,Neuman & Bogdonoff,74769.5,11215.425,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,22731.113000926518
84,84,12:00-23:00,New York,4/10/17 19:20,Fort George Ave,roome_lodge@mail.com,0494-584106,Roome Lodge,72870.09999999999,10930.514999999998,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,21116.623000926513
85,85,12:00-23:00,New York,12/1/17 5:56,Rockefeller Plaza,hd_bristols_oyster_&_chop_house@outlook.com,0496-661932,H.D. Bristols Oyster & Chop House,43933.0,6589.95,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,-3479.911999073476
86,86,12:00-23:00,New York,7/17/17 14:10,Gramercy Park W,royal_york_hotel@yahoo.com,0499-519605,Royal York Hotel,62811.6,9421.74,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,12566.898000926514
87,87,12:00-23:00,New York,8/29/17 16:07,W 37th St,jj_haggartys_mezzanine_tea_room@gmail.com,0496-665065,J.J. Haggartys Mezzanine Tea Room,90333.40000000001,13550.01,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,35960.428000926535
88,88,12:00-23:00,New York,4/4/17 12:46,W 168th St,palliser_hotel@aol.com,0494-416309,Palliser Hotel,44336.2,6650.429999999999,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,-3137.1919990734823
89,89,12:00-23:00,New York,5/17/18 9:52,E 36th St,haverford_association_of_new_york@hotmail.com,0494-267012,Haverford Association Of New York,68856.6,10328.49,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,17705.14800092652
90,90,12:00-23:00,New York,4/27/17 10:43,3rd Pl,alpha_deuteron_phi_gamma_delta@outlook.com,0494-756169,Alpha Deuteron Phi Gamma Delta,70873.1,10630.965,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,19419.17300092653
91,91,12:00-23:00,New York,4/22/17 19:31,W 116th St,national_wholesale__druggists_association@yahoo.com,0494-229559,National Wholesale  Druggists Association,128630.8,19294.62,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,68513.21800092653
92,92,12:00-23:00,New York,11/22/17 23:37,Marketfield St,usatlantic_fleet_crews@gmail.com,0497-061282,U.S.Atlantic Fleet Crews,43342.2,6501.329999999999,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,-3982.0919990734837
93,93,12:00-23:00,New York,8/29/17 22:06,W 220th St,steamship_yucatan@inbox.com,0495-294565,Steamship Yucatan,67940.4,10191.06,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,16926.378000926517
94,94,12:00-23:00,New York,8/7/17 1:12,Pell St,hotel_gloria@inbox.com,0499-713286,Hotel Gloria,63390.5,9508.574999999999,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,13058.963000926524
95,95,12:00-23:00,New York,10/1/17 18:57,Nathan D Perlman Pl,hotel_chittenden@outlook.com,0494-564699,Hotel Chittenden,44039.6,6605.94,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,-3389.301999073483
96,96,12:00-23:00,New York,8/30/17 23:45,W 124th St,alumni_association_of_public_school_no26@outlook.com,0494-317597,Alumni Association Of Public School No.26,55727.8,8359.17,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,6545.668000926526
97,97,12:00-23:00,New York,9/2/17 10:04,Gramercy Park N,deutsche_gesandtschaft@gmail.com,0494-127280,Deutsche Gesandtschaft,61415.6,9212.34,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,11380.298000926523
98,98,12:00-23:00,New York,9/29/17 2:17,W 176th St,chambre_de_commerce_francaise_de_new_york@outlook.com,0498-709834,Chambre De Commerce Francaise De New York,73313.4,10997.009999999998,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,21493.42800092652
99,99,12:00-23:00,San Francisco,5/19/17 7:55,Riverside Dr,norge_hotel@hotmail.com,0497-550012,Norge Hotel,61627.299999999996,9244.095,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,11560.243000926515
100,100,12:00-23:00,New York,5/20/17 6:48,Stuyvesant St,the_hotel_roosevelt@inbox.com,0497-436123,The Hotel Roosevelt,83713.8,12557.07,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,30333.768000926524
101,101,12:00-23:00,San Francisco,3/2/18 2:05,Spruce St,patricia_murphys_candlelight_restaurants@gmail.com,0496-780723,Patricia Murphys Candlelight Restaurants,61518.1,9227.715,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,11467.423000926523
102,102,12:00-23:00,New York,8/17/17 21:24,W 174th St,toyo_kisen_kaisha__hong_kong_maru@hotmail.com,0497-231028,Toyo Kisen Kaisha  Hong Kong Maru,69080.1,10362.015000000001,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,17895.123000926527
103,103,12:00-23:00,New York,12/28/17 12:42,W 154th St,ideal_dining_and_lunch_room@outlook.com,0497-457228,Ideal Dining And Lunch Room,61620.9,9243.135,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,11554.803000926528
104,104,12:00-23:00,New York,6/16/17 13:15,3rd Pl,park_lane@aol.com,0498-053394,Park Lane,60093.3,9013.995,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,10256.343000926528
105,105,12:00-23:00,New York,8/11/17 19:26,W 163rd St,spengers_fish_grotto@yahoo.com,0498-676339,Spengers Fish Grotto,119116.8,17867.52,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,60426.31800092652
106,106,12:00-23:00,New York,3/7/18 14:57,W 154th St,ex_libris@mail.com,0495-086547,Ex Libris,41437.5,6215.625,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,-5601.086999073479
107,107,12:00-23:00,New York,8/18/17 18:50,Renwick St,society_of_medical_jurisprudence@outlook.com,0498-605486,Society Of Medical Jurisprudence,71083.7,10662.554999999998,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,19598.183000926525
108,108,12:00-23:00,New York,11/14/17 18:12,W 123rd St,taillevent@outlook.com,0495-037238,Taillevent,42123.200000000004,6318.4800000000005,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,-5018.241999073471
109,109,12:00-23:00,New York,11/16/17 17:32,Avenue D,"personal_friends,_business_associates,_and_citizens@aol.com",0497-141419,"Personal Friends, Business Associates, And Citizens",48484.7,7272.704999999999,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,389.03300092651625
