,id,opening_hours,city,creation_date,data_id,street,email,phone_number,name,_rid,_self,_etag,_attachments,_ts
37,37,12:00-23:00,San Francisco,10/23/17 7:36,275,Meadowbrook Dr,hamburg_america_line@outlook.com,0495-118669,Hamburg America Line,LFZbAOhfMFomAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFomAAAAAAAAAA==/,"""10004ce6-0000-0200-0000-622fb5400000""",attachments/,1647293760
38,38,12:00-23:00,San Francisco,12/8/18 1:04,399,John F Kennedy Dr,santa_fe_dining_car_service@yahoo.com,0496-559782,Santa Fe Dining Car Service,LFZbAOhfMFonAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFonAAAAAAAAAA==/,"""10004de6-0000-0200-0000-622fb5400000""",attachments/,1647293760
39,39,12:00-23:00,San Francisco,7/3/17 13:43,159,Avenue M,restaurant_faberhof@outlook.com,0494-730473,Restaurant Faberhof,LFZbAOhfMFooAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFooAAAAAAAAAA==/,"""100050e6-0000-0200-0000-622fb5400000""",attachments/,1647293760
40,40,12:00-23:00,San Francisco,8/15/17 6:47,204,Knott Ct,dante@inbox.com,0498-723637,Dante,LFZbAOhfMFopAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFopAAAAAAAAAA==/,"""100051e6-0000-0200-0000-622fb5400000""",attachments/,1647293760
41,41,12:00-23:00,New York,6/15/18 7:26,356,Avenue C,society_of_colonial_wars_in_state_of_new_jersey@inbox.com,0499-532891,Society Of Colonial Wars In State Of New Jersey,LFZbAOhfMFoqAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFoqAAAAAAAAAA==/,"""100052e6-0000-0200-0000-622fb5410000""",attachments/,1647293761
42,42,12:00-23:00,New York,6/10/18 19:58,353,Tenny Pl,sheraton_blackstone_chicago@inbox.com,0497-637785,Sheraton Blackstone Chicago,LFZbAOhfMForAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMForAAAAAAAAAA==/,"""100053e6-0000-0200-0000-622fb5410000""",attachments/,1647293761
43,43,12:00-23:00,San Francisco,4/17/17 4:22,24,Cordelia St,greenhuts_lunch_room_at_18th_and_19th_streets@outlook.com,0497-157694,Greenhuts Lunch Room at 18th and 19th Streets.,LFZbAOhfMFosAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFosAAAAAAAAAA==/,"""100055e6-0000-0200-0000-622fb5410000""",attachments/,1647293761
44,44,12:00-23:00,San Francisco,7/26/17 8:00,183,Italy Ave,yale_alumni_association@mail.com,0498-591241,Yale Alumni Association,LFZbAOhfMFotAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFotAAAAAAAAAA==/,"""100057e6-0000-0200-0000-622fb5410000""",attachments/,1647293761
45,45,12:00-23:00,San Francisco,5/19/17 10:57,84,Beacon St,au_chat_noir@hotmail.com,0495-777151,Au Chat Noir,LFZbAOhfMFouAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFouAAAAAAAAAA==/,"""100058e6-0000-0200-0000-622fb5410000""",attachments/,1647293761
46,46,12:00-23:00,San Francisco,6/3/17 6:10,111,Mansfield St,pennsylvania_tours_to_the_golden_gate@hotmail.com,0499-240382,Pennsylvania Tours To The Golden Gate,LFZbAOhfMFovAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFovAAAAAAAAAA==/,"""10005be6-0000-0200-0000-622fb5410000""",attachments/,1647293761
47,47,12:00-23:00,San Francisco,12/12/17 7:40,298,San Marcos Ave,grand_union_hotel@inbox.com,0494-309588,Grand Union Hotel,LFZbAOhfMFowAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFowAAAAAAAAAA==/,"""10005ce6-0000-0200-0000-622fb5410000""",attachments/,1647293761
48,48,12:00-23:00,San Francisco,4/24/17 5:24,33,Sunview Dr,tower_restaurant_and_cafe@yahoo.com,0496-446296,Tower Restaurant And Cafe,LFZbAOhfMFoxAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFoxAAAAAAAAAA==/,"""10005de6-0000-0200-0000-622fb5410000""",attachments/,1647293761
49,49,12:00-23:00,San Francisco,4/30/17 6:32,45,Reservoir Rd,usgovernment@gmail.com,0499-531905,U.S.Government,LFZbAOhfMFoyAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFoyAAAAAAAAAA==/,"""10005fe6-0000-0200-0000-622fb5410000""",attachments/,1647293761
50,50,12:00-23:00,San Francisco,8/18/18 4:18,373,Ocean Ave,friends_of_mr_charles_a_brunn@mail.com,0495-857428,Friends Of Mr. Charles A. Brunn,LFZbAOhfMFozAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFozAAAAAAAAAA==/,"""100061e6-0000-0200-0000-622fb5410000""",attachments/,1647293761
51,51,12:00-23:00,San Francisco,9/19/17 11:30,250,Annie St,western_reserve_university@mail.com,0498-266434,Western Reserve University,LFZbAOhfMFo0AAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFo0AAAAAAAAAA==/,"""100064e6-0000-0200-0000-622fb5420000""",attachments/,1647293762
52,52,12:00-23:00,San Francisco,4/22/17 9:33,28,Burke Ave,society_of_medical_jurisprudence@hotmail.com,0495-967704,Society Of Medical Jurisprudence,LFZbAOhfMFo1AAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFo1AAAAAAAAAA==/,"""100065e6-0000-0200-0000-622fb5420000""",attachments/,1647293762
53,53,12:00-23:00,San Francisco,9/1/17 6:20,226,Elm St,waldorf_astoria_hotel@hotmail.com,0494-718497,Waldorf Astoria Hotel,LFZbAOhfMFo2AAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFo2AAAAAAAAAA==/,"""100066e6-0000-0200-0000-622fb5420000""",attachments/,1647293762
54,54,12:00-23:00,San Francisco,7/25/18 6:16,365,Calgary St,frederik_viii@hotmail.com,0498-505329,Frederik Viii,LFZbAOhfMFo3AAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFo3AAAAAAAAAA==/,"""100068e6-0000-0200-0000-622fb5420000""",attachments/,1647293762
55,55,12:00-23:00,San Francisco,2/9/18 10:16,321,Laurel St,hotel_de_la_tremoille@aol.com,0496-792550,Hotel De La Tremoille,LFZbAOhfMFo4AAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFo4AAAAAAAAAA==/,"""100069e6-0000-0200-0000-622fb5420000""",attachments/,1647293762
56,56,12:00-23:00,San Francisco,12/6/17 17:21,293,Flournoy St,"russell_house,the@aol.com",0496-624597,"Russell House,The",LFZbAOhfMFo5AAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFo5AAAAAAAAAA==/,"""10006ae6-0000-0200-0000-622fb5420000""",attachments/,1647293762
57,57,12:00-23:00,San Francisco,11/23/18 4:42,393,Southard Pl,friends_of_geo_w_gardner@hotmail.com,0499-673234,Friends Of Geo W. Gardner,LFZbAOhfMFo6AAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFo6AAAAAAAAAA==/,"""10006be6-0000-0200-0000-622fb5420000""",attachments/,1647293762
58,58,12:00-23:00,San Francisco,4/15/17 13:05,21,Bosworth St,ss_bruce@inbox.com,0495-086825,S.S. Bruce,LFZbAOhfMFo7AAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFo7AAAAAAAAAA==/,"""10006ee6-0000-0200-0000-622fb5420000""",attachments/,1647293762
59,59,12:00-23:00,San Francisco,4/13/17 12:08,16,Harrison Blvd - Golden Gate National Recreation Area,henri_confiseur@inbox.com,0499-393361,Henri Confiseur,LFZbAOhfMFo8AAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFo8AAAAAAAAAA==/,"""10006fe6-0000-0200-0000-622fb5420000""",attachments/,1647293762
60,60,12:00-23:00,San Francisco,6/15/17 7:41,133,Nevada St,the_guaranty_club@yahoo.com,0495-732270,The Guaranty Club,LFZbAOhfMFo9AAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFo9AAAAAAAAAA==/,"""100071e6-0000-0200-0000-622fb5430000""",attachments/,1647293763
61,61,12:00-23:00,San Francisco,6/24/17 3:16,147,Cabrillo St,international_railway_congress@hotmail.com,0494-344541,International Railway Congress,LFZbAOhfMFo+AAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFo+AAAAAAAAAA==/,"""100075e6-0000-0200-0000-622fb5430000""",attachments/,1647293763
62,62,12:00-23:00,San Francisco,6/11/18 19:41,354,Bush St,orpheus_masquerade@hotmail.com,0499-888462,Orpheus Masquerade,LFZbAOhfMFo-AAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFo-AAAAAAAAAA==/,"""100076e6-0000-0200-0000-622fb5430000""",attachments/,1647293763
63,63,12:00-23:00,San Francisco,6/11/17 5:52,120,Nike Rd,royal_literary_fund@mail.com,0494-481828,Royal Literary Fund,LFZbAOhfMFpAAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpAAAAAAAAAAA==/,"""100077e6-0000-0200-0000-622fb5430000""",attachments/,1647293763
64,64,12:00-23:00,San Francisco,6/22/17 7:40,144,Lloyd St,municipal_art_society@inbox.com,0499-650581,Municipal Art Society,LFZbAOhfMFpBAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpBAAAAAAAAAA==/,"""10007ae6-0000-0200-0000-622fb5430000""",attachments/,1647293763
65,65,12:00-23:00,San Francisco,5/27/17 7:06,96,Kenwood Way,mckees_restaurant@inbox.com,0495-516587,McKees Restaurant,LFZbAOhfMFpCAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpCAAAAAAAAAA==/,"""10007ce6-0000-0200-0000-622fb5430000""",attachments/,1647293763
66,66,12:00-23:00,San Francisco,8/14/17 22:32,202,Gardenside Dr,royal_hawaiian_hotel_(sheraton_hotels_in_hawaii)@outlook.com,0498-522720,Royal Hawaiian Hotel (Sheraton Hotels In Hawaii),LFZbAOhfMFpDAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpDAAAAAAAAAA==/,"""10007de6-0000-0200-0000-622fb5430000""",attachments/,1647293763
67,67,12:00-23:00,San Francisco,9/20/17 1:06,251,R St,graemere_hotel@mail.com,0494-021028,Graemere Hotel,LFZbAOhfMFpEAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpEAAAAAAAAAA==/,"""10007ee6-0000-0200-0000-622fb5430000""",attachments/,1647293763
68,68,12:00-23:00,San Francisco,9/6/17 17:10,235,Commer Ct,the_four_seasons_motor_hotel@hotmail.com,0499-081563,The Four Seasons Motor Hotel,LFZbAOhfMFpFAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpFAAAAAAAAAA==/,"""10007fe6-0000-0200-0000-622fb5430000""",attachments/,1647293763
69,69,12:00-23:00,San Francisco,4/13/17 10:49,15,Donner Ave,robert_e_peary@inbox.com,0494-709746,Robert E. Peary,LFZbAOhfMFpGAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpGAAAAAAAAAA==/,"""100080e6-0000-0200-0000-622fb5440000""",attachments/,1647293764
70,70,12:00-23:00,San Francisco,9/9/17 11:46,237,Annie St,henry_van_schaick@yahoo.com,0498-028115,Henry Van Schaick,LFZbAOhfMFpHAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpHAAAAAAAAAA==/,"""100083e6-0000-0200-0000-622fb5440000""",attachments/,1647293764
71,71,12:00-23:00,San Francisco,3/1/18 7:28,325,Edinburgh St,hotel_lexington@hotmail.com,0497-521831,Hotel Lexington,LFZbAOhfMFpIAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpIAAAAAAAAAA==/,"""100085e6-0000-0200-0000-622fb5440000""",attachments/,1647293764
72,72,12:00-23:00,San Francisco,9/18/17 17:11,249,Point Lobos,king_umberto_and_queen_margharita@yahoo.com,0495-066886,King Umberto And Queen Margharita,LFZbAOhfMFpJAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpJAAAAAAAAAA==/,"""100087e6-0000-0200-0000-622fb5440000""",attachments/,1647293764
