opening_hours,city,creation_date,data_id,street,email,phone_number,name,lat,lon
12:00-23:00,San Francisco,12/12/17 7:40,298,San Marcos Ave,grand_union_hotel@inbox.com,0494-309588,Grand Union Hotel,37.7468253,-122.4654674
12:00-23:00,San Francisco,4/24/17 5:24,33,Sunview Dr,tower_restaurant_and_cafe@yahoo.com,0496-446296,Tower Restaurant And Cafe,37.747247,-122.446444
12:00-23:00,San Francisco,4/30/17 6:32,45,Reservoir Rd,usgovernment@gmail.com,0499-531905,U.S.Government,37.80975875,-122.3658192981293
12:00-23:00,San Francisco,8/18/18 4:18,373,Ocean Ave,friends_of_mr_charles_a_brunn@mail.com,0495-857428,Friends Of Mr. Charles A. Brunn,37.7229141,-122.4483883
12:00-23:00,San Francisco,9/19/17 11:30,250,Annie St,western_reserve_university@mail.com,0498-266434,Western Reserve University,37.787285,-122.401872
12:00-23:00,San Francisco,4/22/17 9:33,28,Burke Ave,society_of_medical_jurisprudence@hotmail.com,0495-967704,Society Of Medical Jurisprudence,37.7443504,-122.3858741
12:00-23:00,San Francisco,9/1/17 6:20,226,Elm St,waldorf_astoria_hotel@hotmail.com,0494-718497,Waldorf Astoria Hotel,37.7794841,-122.436422
12:00-23:00,San Francisco,7/25/18 6:16,365,Calgary St,frederik_viii@hotmail.com,0498-505329,Frederik Viii,37.7088809,-122.4159924
12:00-23:00,San Francisco,2/9/18 10:16,321,Laurel St,hotel_de_la_tremoille@aol.com,0496-792550,Hotel De La Tremoille,37.7886491,-122.4504985
12:00-23:00,San Francisco,12/6/17 17:21,293,Flournoy St,"russell_house,the@aol.com",0496-624597,"Russell House,The",37.7086054,-122.4618347
12:00-23:00,San Francisco,11/23/18 4:42,393,Southard Pl,friends_of_geo_w_gardner@hotmail.com,0499-673234,Friends Of Geo W. Gardner,37.8011191,-122.4190783
12:00-23:00,San Francisco,4/15/17 13:05,21,Bosworth St,ss_bruce@inbox.com,0495-086825,S.S. Bruce,37.7332038,-122.4324315
12:00-23:00,San Francisco,4/13/17 12:08,16,Harrison Blvd - Golden Gate National Recreation Area,henri_confiseur@inbox.com,0499-393361,Henri Confiseur,None,None
12:00-23:00,San Francisco,6/15/17 7:41,133,Nevada St,the_guaranty_club@yahoo.com,0495-732270,The Guaranty Club,37.7400803,-122.4113526
12:00-23:00,San Francisco,6/24/17 3:16,147,Cabrillo St,international_railway_congress@hotmail.com,0494-344541,International Railway Congress,37.7751274,-122.469243
12:00-23:00,San Francisco,6/11/18 19:41,354,Bush St,orpheus_masquerade@hotmail.com,0499-888462,Orpheus Masquerade,37.7906729,-122.4047879
12:00-23:00,San Francisco,6/11/17 5:52,120,Nike Rd,royal_literary_fund@mail.com,0494-481828,Royal Literary Fund,37.7572729,-122.4579215
12:00-23:00,San Francisco,6/22/17 7:40,144,Lloyd St,municipal_art_society@inbox.com,0499-650581,Municipal Art Society,37.7697745,-122.4360966
12:00-23:00,San Francisco,5/27/17 7:06,96,Kenwood Way,mckees_restaurant@inbox.com,0495-516587,McKees Restaurant,37.7280605,-122.4628968
12:00-23:00,San Francisco,8/14/17 22:32,202,Gardenside Dr,royal_hawaiian_hotel_(sheraton_hotels_in_hawaii)@outlook.com,0498-522720,Royal Hawaiian Hotel (Sheraton Hotels In Hawaii),37.7533568,-122.4452542
12:00-23:00,San Francisco,9/20/17 1:06,251,R St,graemere_hotel@mail.com,0494-021028,Graemere Hotel,37.7218398,-122.371942
12:00-23:00,San Francisco,9/6/17 17:10,235,Commer Ct,the_four_seasons_motor_hotel@hotmail.com,0499-081563,The Four Seasons Motor Hotel,37.732565,-122.38491
12:00-23:00,San Francisco,4/13/17 10:49,15,Donner Ave,robert_e_peary@inbox.com,0494-709746,Robert E. Peary,37.7222771,-122.3902752
12:00-23:00,San Francisco,9/9/17 11:46,237,Annie St,henry_van_schaick@yahoo.com,0498-028115,Henry Van Schaick,37.787285,-122.401872
12:00-23:00,San Francisco,3/1/18 7:28,325,Edinburgh St,hotel_lexington@hotmail.com,0497-521831,Hotel Lexington,37.7145441,-122.4370468
12:00-23:00,San Francisco,9/18/17 17:11,249,Point Lobos,king_umberto_and_queen_margharita@yahoo.com,0495-066886,King Umberto And Queen Margharita,37.7790684,-122.5124769
12:00-23:00,San Francisco,8/14/17 15:26,201,Spofford St,state_department_special_to_the_pand_american_congress_at_the_city_of_mexico_(pullman_car_service)@inbox.com,0494-454774,State Department Special To The Pand American Congress At The City Of Mexico (Pullman Car Service),37.794549,-122.4074008
12:00-23:00,New York,11/9/17 2:46,279,Vesey Pl,blanchs@mail.com,0497-871572,Blanchs,40.7154952,-74.0166727
12:00-23:00,New York,4/28/17 12:25,40,W 98th St,ocean_house@mail.com,0499-857831,Ocean House,40.796004,-73.9709366
12:00-23:00,San Francisco,7/10/17 7:40,166,Elk St,assembly@gmail.com,0494-892101,Assembly,37.7349834,-122.4399432
12:00-23:00,New York,11/17/17 16:19,285,E 15th St,santa_fe_route_dining_car_service@gmail.com,0494-055669,Santa Fe Route Dining Car Service,40.612957,-73.959079
12:00-23:00,New York,2/10/18 9:39,322,W 181st St,chocorua_inn@hotmail.com,0495-270358,Chocorua Inn,40.8498016,-73.9348747
12:00-23:00,New York,9/20/17 23:51,252,E 73rd St,greenhut-siegel_cooper_co@yahoo.com,0495-593848,Greenhut-Siegel Cooper Co.,40.6285234,-73.9174381
12:00-23:00,New York,12/13/17 22:23,299,Clarkson St,simpson_timber@aol.com,0497-506171,Simpson Timber,40.7297141,-74.0093067
12:00-23:00,New York,12/1/18 23:50,396,Pitt St,parisien@aol.com,0494-018538,Parisien,40.7170934,-73.983149
12:00-23:00,New York,12/27/17 11:42,306,South End Ave,the_florida_brewing_co@outlook.com,0496-784129,The Florida Brewing Co.,40.7090555,-74.0169615
12:00-23:00,New York,7/26/17 8:51,184,W 102nd St,neuman_&_bogdonoff@gmail.com,0495-494828,Neuman & Bogdonoff,40.7974858,-73.9665991
12:00-23:00,New York,4/10/17 19:20,12,Fort George Ave,roome_lodge@mail.com,0494-584106,Roome Lodge,40.8577931,-73.9266696
12:00-23:00,New York,12/1/17 5:56,291,Rockefeller Plaza,hd_bristols_oyster_&_chop_house@outlook.com,0496-661932,H.D. Bristols Oyster & Chop House,40.7591509,-73.9784267
12:00-23:00,New York,7/17/17 14:10,176,Gramercy Park W,royal_york_hotel@yahoo.com,0499-519605,Royal York Hotel,40.7382236,-73.9866315
12:00-23:00,New York,8/29/17 16:07,219,W 37th St,jj_haggartys_mezzanine_tea_room@gmail.com,0496-665065,J.J. Haggartys Mezzanine Tea Room,40.7540358,-73.9919481
12:00-23:00,New York,4/4/17 12:46,1,W 168th St,palliser_hotel@aol.com,0494-416309,Palliser Hotel,40.83835,-73.924924
12:00-23:00,New York,5/17/18 9:52,349,E 36th St,haverford_association_of_new_york@hotmail.com,0494-267012,Haverford Association Of New York,40.7463092,-73.9755191
12:00-23:00,New York,4/27/17 10:43,38,3rd Pl,alpha_deuteron_phi_gamma_delta@outlook.com,0494-756169,Alpha Deuteron Phi Gamma Delta,40.7075309,-74.0172542
12:00-23:00,New York,4/22/17 19:31,29,W 116th St,national_wholesale__druggists_association@yahoo.com,0494-229559,National Wholesale  Druggists Association,40.8033402,-73.9528166
12:00-23:00,New York,11/22/17 23:37,287,Marketfield St,usatlantic_fleet_crews@gmail.com,0497-061282,U.S.Atlantic Fleet Crews,40.7047008,-74.0122052
12:00-23:00,New York,8/29/17 22:06,220,W 220th St,steamship_yucatan@inbox.com,0495-294565,Steamship Yucatan,40.8722414,-73.9126036
12:00-23:00,New York,8/7/17 1:12,191,Pell St,hotel_gloria@inbox.com,0499-713286,Hotel Gloria,40.7148267,-73.9980379
12:00-23:00,New York,10/1/17 18:57,263,Nathan D Perlman Pl,hotel_chittenden@outlook.com,0494-564699,Hotel Chittenden,40.7338269,-73.9828228
12:00-23:00,New York,8/30/17 23:45,223,W 124th St,alumni_association_of_public_school_no26@outlook.com,0494-317597,Alumni Association Of Public School No.26,40.8070675,-73.9459054
12:00-23:00,New York,9/2/17 10:04,229,Gramercy Park N,deutsche_gesandtschaft@gmail.com,0494-127280,Deutsche Gesandtschaft,40.737913,-73.9849697
12:00-23:00,New York,9/29/17 2:17,259,W 176th St,chambre_de_commerce_francaise_de_new_york@outlook.com,0498-709834,Chambre De Commerce Francaise De New York,40.8487037,-73.9144597
12:00-23:00,San Francisco,5/19/17 7:55,83,Riverside Dr,norge_hotel@hotmail.com,0497-550012,Norge Hotel,14.6514475,121.0143954
12:00-23:00,New York,5/20/17 6:48,86,Stuyvesant St,the_hotel_roosevelt@inbox.com,0497-436123,The Hotel Roosevelt,40.7299286,-73.9887994
12:00-23:00,San Francisco,3/2/18 2:05,326,Spruce St,patricia_murphys_candlelight_restaurants@gmail.com,0496-780723,Patricia Murphys Candlelight Restaurants,37.7882307,-122.4537871
12:00-23:00,New York,8/17/17 21:24,208,W 174th St,toyo_kisen_kaisha__hong_kong_maru@hotmail.com,0497-231028,Toyo Kisen Kaisha  Hong Kong Maru,40.8468757,-73.9205223
12:00-23:00,New York,12/28/17 12:42,309,W 154th St,ideal_dining_and_lunch_room@outlook.com,0497-457228,Ideal Dining And Lunch Room,40.8284482,-73.9376583
12:00-23:00,New York,6/16/17 13:15,138,3rd Pl,park_lane@aol.com,0498-053394,Park Lane,40.7075309,-74.0172542
12:00-23:00,New York,8/11/17 19:26,198,W 163rd St,spengers_fish_grotto@yahoo.com,0498-676339,Spengers Fish Grotto,40.8358804,-73.9378384
12:00-23:00,New York,3/7/18 14:57,331,W 154th St,ex_libris@mail.com,0495-086547,Ex Libris,40.8284482,-73.9376583
12:00-23:00,New York,8/18/17 18:50,210,Renwick St,society_of_medical_jurisprudence@outlook.com,0498-605486,Society Of Medical Jurisprudence,41.494308,-74.009085
12:00-23:00,New York,11/14/17 18:12,280,W 123rd St,taillevent@outlook.com,0495-037238,Taillevent,40.8100609,-73.9549689
12:00-23:00,New York,11/16/17 17:32,282,Avenue D,"personal_friends,_business_associates,_and_citizens@aol.com",0497-141419,"Personal Friends, Business Associates, And Citizens",40.7258427,-73.9744625
12:00-23:00,San Francisco,6/23/17 7:36,145,Pearl St,cocoanut_grove@inbox.com,0494-400826,Cocoanut Grove,37.7706611,-122.4239051
12:00-23:00,New York,6/30/17 11:41,153,Hay Rd,eastern_hotel@gmail.com,0495-942778,Eastern Hotel,40.6910788,-74.0187025
12:00-23:00,New York,2/25/19 4:14,416,Hamilton Pl,hotel_cecil@outlook.com,0498-426305,Hotel Cecil,40.8227004,-73.9512138
12:00-23:00,New York,8/27/17 2:45,216,59th St Bridge,hotel_pontchartrain@hotmail.com,0499-317476,Hotel Pontchartrain,40.75573085,-73.95188400365261
12:00-23:00,New York,11/17/17 8:37,284,Roosevelt Island Bridge,haans@inbox.com,0495-368488,Haans,40.7638183,-73.9464964
12:00-23:00,New York,1/27/18 8:00,315,Penn Plaza,safari_hotel@mail.com,0494-511657,Safari Hotel,40.8931283,-73.8205375
12:00-23:00,San Francisco,9/7/17 9:47,236,E 9th St,german_savings_bank_of_brooklyn@hotmail.com,0497-307601,German Savings Bank Of Brooklyn,37.7742034,-122.4121657
12:00-23:00,New York,5/14/17 1:44,72,W 82nd St,los_angeles_consistory_#3@yahoo.com,0498-321326,Los Angeles Consistory #3,40.7850879,-73.9769058
12:00-23:00,New York,9/3/17 21:35,233,Legion Memorial Square,great_northern@inbox.com,0496-703539,Great Northern,None,None
12:00-23:00,New York,7/18/17 11:13,177,Minetta St,rotisserie_de_la_table_du_roy_(le_chef_georges)@outlook.com,0497-312894,Rotisserie De La Table Du Roy (Le Chef Georges),40.7298963,-74.0013313
12:00-23:00,New York,6/12/17 11:33,124,Baxter St,streets_of_mexico_restaurant@yahoo.com,0495-089881,Streets Of Mexico Restaurant,40.7185023,-73.998715
13:00-23:00,San Francisco,4/20/17 23:22,25,Otis St,berkeley_class_of_91@hotmail.com,0499-030675,Berkeley Class Of 91,37.7713756,-122.4202947
13:00-23:00,San Francisco,8/8/17 4:18,194,Mizpah St,ristorante_alfredo_alla_scrofa@aol.com,0495-327881,Ristorante Alfredo Alla Scrofa,37.7371497,-122.4388822
13:00-23:00,San Francisco,4/14/17 14:49,19,French Ct - Golden Gate National Recreation Area,pains_fireworks_co_employees@aol.com,0495-997499,Pains Fireworks Co. Employees,None,None
13:00-23:00,San Francisco,7/31/18 22:31,368,Sola Ave,mountain_park_hotel@aol.com,0495-322017,Mountain Park Hotel,37.747752,-122.459972
13:00-23:00,San Francisco,8/13/18 4:14,371,Ruger St - Golden Gate National Recreation Area,hochst@outlook.com,0496-521794,Hochst,None,None
13:00-23:00,San Francisco,7/6/18 0:27,361,Mason Ct,hofbrau_haus@mail.com,0497-964074,Hofbrau Haus,37.8283471,-122.3771131
13:00-23:00,San Francisco,8/1/17 5:18,188,Cresta Vista Dr,steinbergs_dairy@hotmail.com,0499-107536,Steinbergs Dairy,37.7355064,-122.4555709
13:00-23:00,San Francisco,8/22/18 9:43,374,Taber Alley,american_chamber_of_commerce_of_paris_commission_for_the_exposiion_of_1900@aol.com,0495-912144,American Chamber Of Commerce Of Paris Commission For The Exposiion Of 1900,None,None
13:00-23:00,San Francisco,5/30/17 9:44,104,Bryant Ln,wells_river_fish_and_game_club@yahoo.com,0498-251750,Wells River Fish And Game Club,None,None
13:00-23:00,San Francisco,8/12/17 17:39,199,Amador St,purcell_house@hotmail.com,0499-685520,Purcell House,37.7458144,-122.3852858
13:00-23:00,San Francisco,5/31/17 22:45,107,Alta St,sangamo_club@inbox.com,0496-311062,Sangamo Club,37.8016451,-122.4034935
13:00-23:00,San Francisco,6/11/17 23:51,122,Park Presidio Blvd,shanes@inbox.com,0495-418146,Shanes,37.7732808,-122.4718698
13:00-23:00,San Francisco,9/21/18 17:50,379,Mansell St,keystone_restaurant@hotmail.com,0495-243095,Keystone Restaurant,37.7178307,-122.4225091
13:00-23:00,San Francisco,5/14/17 5:46,73,Dodge Pl,hotel_ponce_de_leon@outlook.com,0496-508045,Hotel Ponce De Leon,None,None
13:00-23:00,San Francisco,5/11/17 2:35,65,Hwy 82,the_homestead_gwinn@outlook.com,0494-985549,The Homestead Gwinn,37.7498469,-122.508323
13:00-23:00,San Francisco,10/3/17 11:11,265,Cashmere St,w_atlee_burpee@mail.com,0498-897226,W. Atlee Burpee,37.7361106,-122.3846653
13:00-23:00,San Francisco,9/15/17 13:33,244,Badger St,ss_constitution@aol.com,0496-569278,S.S. Constitution,37.730691,-122.434013
13:00-23:00,San Francisco,7/1/17 3:13,154,Spreckels Lake Dr,veteran_association_of_the_5th_ny_artillery_volunteers@mail.com,0494-819100,Veteran Association Of The 5th Ny Artillery Volunteers,37.7717448,-122.492593
13:00-23:00,San Francisco,4/12/18 6:15,344,Reuel Ct,bangkok_cuisine@hotmail.com,0497-983256,Bangkok Cuisine,37.7366149,-122.3829464
13:00-23:00,New York,6/16/17 1:07,135,Avenue C,joe_coluccis_puccini_restaurant@aol.com,0498-592335,Joe Coluccis Puccini Restaurant,40.720779,-73.9812617
13:00-23:00,San Francisco,5/17/17 14:28,80,Foote Ave,the_scandia@gmail.com,0494-664925,The Scandia,37.714256,-122.446779
13:00-23:00,San Francisco,3/17/19 2:33,421,Juri St,corps_consulaire@aol.com,0498-974115,Corps Consulaire,37.749962,-122.421391
13:00-23:00,San Francisco,5/9/17 0:23,61,Conservatory Access Rd,"new_hotel_berkeley,the@inbox.com",0498-146795,"New Hotel Berkeley,The",None,None
13:00-23:00,San Francisco,5/21/18 4:03,350,Dore St,hotel_colorado@outlook.com,0499-224770,Hotel Colorado,37.7733736,-122.4123365
13:00-23:00,San Francisco,5/27/17 9:13,97,Wilde Ave,elka_park_association@outlook.com,0496-577049,Elka Park Association,37.717053,-122.404477
13:00-23:00,San Francisco,5/1/17 20:57,48,Spruce St,wally_j@gmail.com,0498-137288,Wally J,37.7882307,-122.4537871
13:00-23:00,San Francisco,4/5/17 4:01,2,Thornton Ave,duffs@gmail.com,0495-750801,Duffs,37.7308558,-122.3936638
13:00-23:00,San Francisco,9/29/18 23:22,382,Dale Pl,smsvineta@inbox.com,0495-142934,S.M.S.Vineta,37.7812955,-122.4146092
13:00-23:00,San Francisco,4/7/17 9:44,6,Gaviota Way,camp_wadsworth@aol.com,0497-545403,Camp Wadsworth,37.739001,-122.4478772
13:00-23:00,San Francisco,4/15/17 11:08,20,Jackson St,john_hart@yahoo.com,0495-220630,John Hart,37.7965008,-122.4029202
13:00-23:00,San Francisco,2/8/18 14:41,320,Dwight St,ernest_marples_cellars@hotmail.com,0497-895115,Ernest Marples Cellars,37.7235516,-122.4040093
13:00-23:00,San Francisco,10/19/17 10:00,269,De Boom St,the_pilgrims@mail.com,0495-716563,The Pilgrims,37.7825988,-122.3922233
13:00-23:00,San Francisco,6/10/18 19:54,352,Redfield Alley,the_red_star_inn@mail.com,0495-359995,The Red Star Inn,37.800289,-122.414332
13:00-23:00,San Francisco,5/14/17 9:22,74,Terra Vista Ave,la_vicomtesse_parker@aol.com,0496-009626,La Vicomtesse Parker,37.7814293,-122.4434667
13:00-23:00,San Francisco,5/7/17 15:21,55,Monument Way,hamburg__armerika_linie@gmail.com,0499-110587,Hamburg  Armerika Linie,37.7621595,-122.4464225
13:00-23:00,San Francisco,8/2/17 9:01,189,Dale Pl,paul_clemann@yahoo.com,0498-742579,Paul Clemann,37.7812955,-122.4146092
13:00-23:00,San Francisco,5/2/17 3:51,49,Horace St,merchants_club___the_salvation_army@aol.com,0498-417586,Merchants Club   The Salvation Army,37.750876,-122.4145155
13:00-23:00,San Francisco,12/17/17 19:30,304,Central Ave,the_terrace_restaurant@mail.com,0496-597067,The Terrace Restaurant,37.7705211,-122.4436778
13:00-23:00,San Francisco,7/20/18 6:11,364,Bliss St - Golden Gate National Recreation Area,mrs_h_mc_k_twombley@hotmail.com,0498-406807,Mrs. H. Mc K. Twombley,None,None
13:00-23:00,New York,11/25/18 5:35,394,W 119th St,palace_hotel_restaurat@mail.com,0496-199308,Palace Hotel Restaurat,40.8069606,-73.955416
13:00-23:00,New York,3/7/18 5:11,330,River Rd,oneco_hotel@outlook.com,0495-918349,Oneco Hotel,44.483395,-75.769659
13:00-23:00,New York,4/16/17 12:26,22,University Pl,ss_hastings@mail.com,0497-759548,S.S. Hastings,40.7326806,-73.993857
13:00-23:00,New York,5/10/17 17:33,64,Marginal St,leon_&_eddies@gmail.com,0495-181886,Leon & Eddies,40.8197948,-73.9600745
13:00-23:00,New York,11/17/17 22:19,286,Gustave L. Levy Pl,restaurant_cafe_winkler@gmail.com,0494-530143,Restaurant Cafe Winkler,None,None
13:00-23:00,New York,11/16/17 23:18,283,W 165th St,associates_of_the_interborough_rapid_transit_co@yahoo.com,0496-498427,Associates Of The Interborough Rapid Transit Co.,40.8391816,-73.9411376
13:00-23:00,New York,4/8/18 23:30,341,Craig Rd N,deutsche_liederkranz@mail.com,0497-036924,Deutsche Liederkranz,40.6896175,-74.0226634
13:00-23:00,New York,2/14/19 12:35,414,Manhattan,rh_macy_and_co@mail.com,0495-810995,R.H. Macy and Co.,40.7548287,-73.9793823
13:00-23:00,New York,8/19/17 5:54,211,Marble Hill Ln,joseph_pulitzer@aol.com,0494-529945,Joseph Pulitzer,40.8759494,-73.9093574
13:00-23:00,New York,1/14/18 4:11,312,W 31st St,hotel_de_paris@outlook.com,0496-813960,Hotel De Paris,40.7526317,-74.0003933
13:00-23:00,New York,9/4/17 3:02,234,Dongan Pl,community_of_zurich@inbox.com,0499-332744,Community Of Zurich,41.7080455,-73.9352412
13:00-23:00,New York,8/27/17 9:47,217,Colonel Robert Magaw Pl,cafe_new_york_restaurant@aol.com,0498-062323,Cafe New York Restaurant,40.8513989,-73.9370819
13:00-23:00,New York,11/4/17 20:46,277,Short Ave,royal_pavillion_hotel@mail.com,0499-920840,Royal Pavillion Hotel,40.691265,-74.0201688
